method,n_queries,n_candidate_rows_before,n_candidate_rows_after,candidate_reduction_pct,true_retention_pct,top1_before_pct,top1_after_pct,top5_before_pct,top5_after_pct,top10_before_pct,top10_after_pct,mean_true_abs_rt_delta,median_true_abs_rt_delta,max_true_abs_rt_delta,threshold_sec,guard_k,tau,alpha
hard_rt_filter_th120.0,85,5044,4130,18.120539254559873,100.0,47.05882352941176,50.588235294117645,70.58823529411765,74.11764705882354,82.35294117647058,84.70588235294117,24.374200164924197,18.39898313476561,92.57754225585938,120.0,,,
hard_rt_filter_th150.0,85,5044,4449,11.796193497224426,100.0,47.05882352941176,48.23529411764706,70.58823529411765,72.94117647058823,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,150.0,,,
hard_rt_filter_th180.0,85,5044,4630,8.207771609833465,100.0,47.05882352941176,48.23529411764706,70.58823529411765,72.94117647058823,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,180.0,,,
hard_rt_filter_th220.0,85,5044,4787,5.095162569389373,100.0,47.05882352941176,48.23529411764706,70.58823529411765,71.76470588235294,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,220.0,,,
hard_rt_filter_th260.0,85,5044,4882,3.211736716891356,100.0,47.05882352941176,48.23529411764706,70.58823529411765,70.58823529411765,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,260.0,,,
hard_rt_filter_th300.0,85,5044,4939,2.0816812053925458,100.0,47.05882352941176,48.23529411764706,70.58823529411765,70.58823529411765,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,300.0,,,
rank_guard_filter_th30.0_g1,85,5044,1821,63.89770023790642,84.70588235294117,47.05882352941176,47.05882352941176,70.58823529411765,75.29411764705883,82.35294117647058,77.64705882352942,24.374200164924197,18.39898313476561,92.57754225585938,30.0,1.0,,
rank_guard_filter_th30.0_g2,85,5044,1858,63.16415543219667,89.41176470588236,47.05882352941176,47.05882352941176,70.58823529411765,77.64705882352942,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,30.0,2.0,,
rank_guard_filter_th30.0_g3,85,5044,1904,62.25218080888184,89.41176470588236,47.05882352941176,47.05882352941176,70.58823529411765,76.47058823529412,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,30.0,3.0,,
rank_guard_filter_th30.0_g5,85,5044,1993,60.48770816812054,89.41176470588236,47.05882352941176,47.05882352941176,70.58823529411765,70.58823529411765,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,30.0,5.0,,
rank_guard_filter_th30.0_g10,85,5044,2246,55.47184773988898,92.94117647058823,47.05882352941176,47.05882352941176,70.58823529411765,70.58823529411765,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,30.0,10.0,,
rank_guard_filter_th40.0_g1,85,5044,2290,54.59952418715305,91.76470588235294,47.05882352941176,47.05882352941176,70.58823529411765,74.11764705882354,82.35294117647058,83.52941176470588,24.374200164924197,18.39898313476561,92.57754225585938,40.0,1.0,,
rank_guard_filter_th40.0_g2,85,5044,2316,54.08406026962728,95.29411764705881,47.05882352941176,47.05882352941176,70.58823529411765,76.47058823529412,82.35294117647058,87.05882352941177,24.374200164924197,18.39898313476561,92.57754225585938,40.0,2.0,,
rank_guard_filter_th40.0_g3,85,5044,2354,53.330689928628075,95.29411764705881,47.05882352941176,47.05882352941176,70.58823529411765,75.29411764705883,82.35294117647058,87.05882352941177,24.374200164924197,18.39898313476561,92.57754225585938,40.0,3.0,,
rank_guard_filter_th40.0_g5,85,5044,2428,51.863600317208565,95.29411764705881,47.05882352941176,47.05882352941176,70.58823529411765,70.58823529411765,82.35294117647058,87.05882352941177,24.374200164924197,18.39898313476561,92.57754225585938,40.0,5.0,,
